codigo_dpa,nombre_provincia,nombre_canton,nombre_parroquia
845,AZUAY,CUENCA,CHAUCHA / ANGAS
3460,AZUAY,CUENCA,SAN JOAQUIN
3795,AZUAY,CUENCA,SAYAUSI
175,AZUAY,GIRON,ASUNCION
885,AZUAY,GIRON,SAN GERARDO
1005,AZUAY,GUALACEO,DANIEL CORDOVA TORAL
1805,AZUAY,GUALACEO,JADAN
2385,AZUAY,GUALACEO,MARIANO MORENO / CALLASAY
1175,AZUAY,NABON,EL PROGRESO
395,AZUAY,PAUTE,BULAN / J. VICTOR IZQUIERDO
870,AZUAY,PAUTE,CHICAN /GUILLERMO ORTEGA
1455,AZUAY,PAUTE,GUARAINAC
3375,AZUAY,PAUTE,SAN CRISTOBAL
890,AZUAY,PAUTE,DUG-DUG
1690,AZUAY,PUCARA,SAN RAFAEL DE SHARUG
4560,AZUAY,SAN FERNANDO,CHUMBIN
15,AZUAY,SANTA ISABEL,ABDON CALDERON / LA UNION
1130,AZUAY,CAMILO PONCE ENRIQUEZ,EL CARMEN DE PIJILI
750,AZUAY,SIGSIG,CUTCHIL
1355,AZUAY,SIGSIG,GIMA
1490,AZUAY,SIGSIG,GUEL
2215,AZUAY,SIGSIG,LUDO
3360,AZUAY,SIGSIG,SAN BARTOLOME
3495,AZUAY,SIGSIG,SAN JOSE DE RARANGA
1535,AZUAY,CHORDELEG,LA UNION
1585,AZUAY,CHORDELEG,LUIS GALARZA O. (DELEGSOL)
1575,AZUAY,CHORDELEG,SAN MARTIN DE PUZHIO
1445,CAÑAR,AZOGUES,GUAPAN
1825,CAÑAR,AZOGUES,JAVIER LOYOLA / CHUQUIPATA
2545,CAÑAR,BIBLIAN,NAZON
3410,CAÑAR,BIBLIAN,SAN FCO. DE SAGEO
4100,CAÑAR,BIBLIAN,TURUPAMBA
1085,CAÑAR,BIBLIAN,JERUSALEN
935,CAÑAR,CAÑAR,CHONTAMARCA
950,CAÑAR,CAÑAR,CHOROCOPTE
1335,CAÑAR,CAÑAR,GRAL. MORALES / SOCARTE
1410,CAÑAR,CAÑAR,GUALLETURO
1605,CAÑAR,CAÑAR,HONORATO VASQUEZ
1725,CAÑAR,CAÑAR,INGAPIRCA
1900,CAÑAR,CAÑAR,JUNCAL
2965,COTOPAXI,LA MANA,PUCAYACO
3155,COTOPAXI,PANGUA,RAMON CAMPAÑA
125,COTOPAXI,PUJILI,ANGAMARCA
1430,COTOPAXI,PUJILI,GUANGAJE
2150,COTOPAXI,PUJILI,LA VICTORIA
2865,COTOPAXI,PUJILI,PILALO
4015,COTOPAXI,PUJILI,TINGO
4365,COTOPAXI,PUJILI,ZUMBAHUA
135,COTOPAXI,SALCEDO,ANTONIO J. HOLGUIN
2760,COTOPAXI,SALCEDO,PANZALEO
465,COTOPAXI,SAQUISILI,CANCHAGUA
830,COTOPAXI,SAQUISILI,CHANTILIN
20,CHIMBORAZO,ALAUSI,ACHUPALLAS
1465,CHIMBORAZO,ALAUSI,GUASUNTOS
1660,CHIMBORAZO,ALAUSI,HUIGRA
2485,CHIMBORAZO,ALAUSI,MULTITUD
2905,CHIMBORAZO,ALAUSI,PISTISHI
3025,CHIMBORAZO,ALAUSI,PUMALLACTA
3820,CHIMBORAZO,ALAUSI,SEVILLA
3845,CHIMBORAZO,ALAUSI,SIBAMBE
4030,CHIMBORAZO,ALAUSI,TIXAN
500,CHIMBORAZO,COLTA,CANI
1865,CHIMBORAZO,COLTA,JUAN DE VELASCO / PONGOR
3295,CHIMBORAZO,GUANO,SAN ANDRES
3425,CHIMBORAZO,GUANO,SAN GERARDO / PAQUICAHUAN
3450,CHIMBORAZO,GUANO,SAN ISIDRO DE PATULU
45,CHIMBORAZO,GUANO,SAN JOSE DEL CHAZO
40,CHIMBORAZO,GUANO,SANTA FE DE GALAN
1695,EL ORO,ARENILLAS,CARCABON
