id_establecimiento,provincia,canton,parroquia,tipo_establecimiento,institucion,sector,provincia_norm,canton_norm,parroquia_norm,codigo_dpa
1,BOLÍVAR,CHILLANES,CHILLANES,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,BOLIVAR,CHILLANES,CHILLANES,5245.0
2,MANABÍ,SAN VICENTE,CANOA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,SAN,CANOA,470.0
3,IMBABURA,COTACACHI,VACAS GALINDO (CAB. EN SAN MIGUEL ALTO),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,IMBABURA,COTACACHI,VACAS,4185.0
4,CAÑAR,BIBLIAN,BIBLIÁN,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CANAR,BIBLIAN,BIBLIAN,5115.0
5,LOJA,MACARÁ,MACARÁ (MANUEL ENRIQUE RENGEL SUQUILANDA),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOJA,MACARA,MACARA,5680.0
6,PICHINCHA,QUITO,PUELLARO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,PICHINCHA,QUITO,PUELLARO,2980.0
7,COTOPAXI,PUJILÍ,PUJILÍ,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,COTOPAXI,PUJILI,PUJILI,5820.0
8,SUCUMBÍOS,GONZALO PIZARRO,GONZALO PIZARRO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,SUCUMBIOS,GONZALO,GONZALO,1090.0
9,MANABÍ,JUNÍN,JUNÍN,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,JUNIN,JUNIN,5505.0
10,LOJA,QUILANGA,QUILANGA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOJA,QUILANGA,QUILANGA,6260.0
12,MANABÍ,PICHINCHA,SAN SEBASTIÁN,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,PICHINCHA,SAN,1060.0
13,LOJA,LOJA,GUALEL,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOJA,LOJA,GUALEL,1405.0
14,GUAYAS,GUAYAQUIL,JUAN GÓMEZ RENDÓN (PROGRESO),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,GUAYAS,GUAYAQUIL,JUAN,1870.0
15,MANABÍ,MONTECRISTI,MONTECRISTI,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,MONTECRISTI,MONTECRISTI,5665.0
16,MANABÍ,JUNÍN,JUNÍN,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,JUNIN,JUNIN,5505.0
17,MANABÍ,CHONE,ELOY ALFARO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,CHONE,ELOY,1160.0
18,SANTA ELENA,SANTA ELENA,COLONCHE,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,SANTA,SANTA,COLONCHE,605.0
19,AZUAY,CUENCA,BAÑOS,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,AZUAY,CUENCA,BANOS,285.0
20,SANTA ELENA,SANTA ELENA,MANGLARALTO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,SANTA,SANTA,MANGLARALTO,2355.0
21,MANABÍ,CHONE,SAN ANTONIO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,CHONE,SAN,3350.0
22,MANABÍ,24 DE MAYO,SUCRE,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,MAYO,SUCRE,6105.0
23,CAÑAR,DELEG,DELÉG,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CANAR,DELEG,DELEG,6425.0
25,MANABÍ,CHONE,CANUTO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,CHONE,CANUTO,495.0
26,LOS RÍOS,MOCACHE,MOCACHE,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOS,MOCACHE,MOCACHE,6695.0
27,LOJA,SARAGURO,MANÚ,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOJA,SARAGURO,MANU,2360.0
28,CHIMBORAZO,GUAMOTE,PALMIRA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CHIMBORAZO,GUAMOTE,PALMIRA,2730.0
29,MANABÍ,BOLÍVAR,CALCETA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,BOLIVAR,CALCETA,5150.0
30,ESMERALDAS,ATACAMES,LA UNIÓN,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,ESMERALDAS,ATACAMES,UNION,2130.0
31,ESMERALDAS,ELOY ALFARO,MALDONADO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,ESMERALDAS,ELOY,MALDONADO,2335.0
32,ESMERALDAS,MUISNE,SAN GREGORIO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,ESMERALDAS,MUISNE,SAN,3390.0
32,ESMERALDAS,MUISNE,SAN GREGORIO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,ESMERALDAS,MUISNE,SAN,3430.0
32,ESMERALDAS,MUISNE,SAN GREGORIO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,ESMERALDAS,MUISNE,SAN,3470.0
33,LOJA,ZAPOTILLO,BOLASPAMBA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOJA,ZAPOTILLO,BOLASPAMBA,2000.0
34,MORONA SANTIAGO,GUALAQUIZA,BOMBOIZA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MORONA,GUALAQUIZA,BOMBOIZA,350.0
35,MANABÍ,SANTA ANA,SANTA ANA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,SANTA,SANTA,6030.0
36,MANABÍ,CHONE,SAN ANTONIO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,CHONE,SAN,3350.0
40,AZUAY,PAUTE,BULÁN (JOSÉ VICTOR IZQUIERDO),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,AZUAY,PAUTE,BULAN,395.0
41,CAÑAR,CAÑAR,JUNCAL,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CANAR,CANAR,JUNCAL,1900.0
42,CHIMBORAZO,RIOBAMBA,CACHA (CAB. EN MACHANGARA),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CHIMBORAZO,RIOBAMBA,CACHA,420.0
43,IMBABURA,IBARRA,LITA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,IMBABURA,IBARRA,LITA,2185.0
44,CAÑAR,AZOGUES,GUAPÁN,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CANAR,AZOGUES,GUAPAN,1445.0
45,CHIMBORAZO,GUANO,SANTA FÉ DE GALÁN,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CHIMBORAZO,GUANO,SANTA,40.0
46,CHIMBORAZO,GUANO,SAN ANDRÉS,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CHIMBORAZO,GUANO,SAN,3295.0
46,CHIMBORAZO,GUANO,SAN ANDRÉS,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CHIMBORAZO,GUANO,SAN,3425.0
46,CHIMBORAZO,GUANO,SAN ANDRÉS,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CHIMBORAZO,GUANO,SAN,3450.0
46,CHIMBORAZO,GUANO,SAN ANDRÉS,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CHIMBORAZO,GUANO,SAN,45.0
47,MORONA SANTIAGO,SANTIAGO,SAN LUIS DE EL ACHO (CAB EN EL ACHO),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MORONA,SANTIAGO,SAN,3565.0
47,MORONA SANTIAGO,SANTIAGO,SAN LUIS DE EL ACHO (CAB EN EL ACHO),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MORONA,SANTIAGO,SAN,1365.0
48,NAPO,TENA,AHUANO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,NAPO,TENA,AHUANO,25.0
49,CARCHI,MONTÚFAR,SAN GABRIEL,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CARCHI,MONTUFAR,SAN,5970.0
50,LOJA,MACARÁ,MACARÁ (MANUEL ENRIQUE RENGEL SUQUILANDA),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOJA,MACARA,MACARA,5680.0
51,COTOPAXI,SIGCHOS,SIGCHOS,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,COTOPAXI,SIGCHOS,SIGCHOS,6450.0
52,MANABÍ,JIPIJAPA,PUERTO DE CAYO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,JIPIJAPA,PUERTO,2990.0
54,GUAYAS,EMPALME,GUAYAS (PUEBLO NUEVO),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,GUAYAS,EMPALME,GUAYAS,1470.0
55,PICHINCHA,CAYAMBE,CANGAHUA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,PICHINCHA,CAYAMBE,CANGAHUA,480.0
56,MANABÍ,BOLÍVAR,CALCETA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,BOLIVAR,CALCETA,5150.0
57,GUAYAS,PEDRO CARBO,VALLE DE LA VIRGEN,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,GUAYAS,PEDRO,VALLE,185.0
58,CHIMBORAZO,CUMANDÁ,CUMANDÁ,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CHIMBORAZO,CUMANDA,CUMANDA,6420.0
59,IMBABURA,OTAVALO,SAN PABLO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,IMBABURA,OTAVALO,SAN,3490.0
