CODPAR,PROVINCIA,CANTON,PARROQUIA,tipo_infraestructura
6765,SUCUMBIOS,CUYABENO,TARAPOA,Pozo
0780,SUCUMBIOS,SHUSHUFINDI,SIETE DE JULIO,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
6765,SUCUMBIOS,CUYABENO,TARAPOA,Pozo
1245,ORELLANA,FCO.DE ORELLANA,TARACOA,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1560,ORELLANA,FCO.DE ORELLANA,EL DORADO,Pozo
1565,ORELLANA,FCO.DE ORELLANA,INES ARANGO,Pozo
1565,ORELLANA,FCO.DE ORELLANA,INES ARANGO,Pozo
1565,ORELLANA,FCO.DE ORELLANA,INES ARANGO,Pozo
1565,ORELLANA,FCO.DE ORELLANA,INES ARANGO,Pozo
1955,ORELLANA,JOYA DE LOS SACHAS,TRES DE NOVIEMBRE,Pozo
1955,ORELLANA,JOYA DE LOS SACHAS,TRES DE NOVIEMBRE,Pozo
1965,ORELLANA,JOYA DE LOS SACHAS,UNION MILAGREÑA,Pozo
3195,PASTAZA,PASTAZA,RIO TIGRE,Pozo
3195,PASTAZA,PASTAZA,RIO TIGRE,Pozo
0510,ORELLANA,AGUARICO,CAP. AUGUSTO RIVADENEIRA,Pozo
1995,ORELLANA,FCO.DE ORELLANA,ALEJANDRO LABAKA,Pozo
6200,ORELLANA,JOYA DE LOS SACHAS,LA JOYA DE LOS SACHAS,Pozo
1245,ORELLANA,FCO.DE ORELLANA,TARACOA,Pozo
1565,ORELLANA,FCO.DE ORELLANA,INES ARANGO,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1560,ORELLANA,FCO.DE ORELLANA,EL DORADO,Pozo
1560,ORELLANA,FCO.DE ORELLANA,EL DORADO,Pozo
1245,ORELLANA,FCO.DE ORELLANA,TARACOA,Pozo
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Pozo
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Pozo
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
1285,SUCUMBIOS,LAGO AGRIO,EL ENO,Pozo
1285,SUCUMBIOS,LAGO AGRIO,EL ENO,Pozo
1285,SUCUMBIOS,LAGO AGRIO,EL ENO,Pozo
1285,SUCUMBIOS,LAGO AGRIO,EL ENO,Pozo
1285,SUCUMBIOS,LAGO AGRIO,EL ENO,Pozo
1285,SUCUMBIOS,LAGO AGRIO,EL ENO,Pozo
1285,SUCUMBIOS,LAGO AGRIO,EL ENO,Pozo
1285,SUCUMBIOS,LAGO AGRIO,EL ENO,Pozo
1285,SUCUMBIOS,LAGO AGRIO,EL ENO,Pozo
5710,SUCUMBIOS,LAGO AGRIO,NUEVA LOJA,Pozo
5710,SUCUMBIOS,LAGO AGRIO,NUEVA LOJA,Pozo
