codigo_dpa,nombre_parroquia,nombre_canton,nombre_provincia,centroide_lon,centroide_lat,area_km2
0285,BAÑOS,CUENCA,AZUAY,-79.20346070705432,-2.9835399219779766,251.44
0730,CUMBE,CUENCA,AZUAY,-79.02016149531283,-3.102251324232652,75.13
0845,CHAUCHA / ANGAS,CUENCA,AZUAY,-79.39456525683947,-2.93062402036387,380.0
0860,CHECA JIDCAY,CUENCA,AZUAY,-79.04122424903515,-2.7110742003877806,110.86
0905,CHIQUINTAD,CUENCA,AZUAY,-79.05668548447996,-2.769097087842313,93.44
2255,LLACAO,CUENCA,AZUAY,-78.93030542243078,-2.841989066213881,15.96
2430,MOLLETURO,CUENCA,AZUAY,-79.40047773954949,-2.7411013235917645,983.77
2570,MULTI / NULTI,CUENCA,AZUAY,-78.89032813544314,-2.8639171555474032,27.04
2595,OCTAVIO CORDERO PALACIOS,CUENCA,AZUAY,-78.97105372637589,-2.7755959076614363,20.88
2680,PACCHA,CUENCA,AZUAY,-78.92893661149917,-2.8986457139758657,25.27
3105,QUINGEO,CUENCA,AZUAY,-78.94081283767953,-3.054660960479782,116.92
3165,RICAURTE,CUENCA,AZUAY,-78.96321438331967,-2.8562230916047846,13.93
3460,SAN JOAQUIN,CUENCA,AZUAY,-79.19316524875958,-2.9055738994793368,204.18
3685,SANTA ANA,CUENCA,AZUAY,-78.91237072583903,-2.9654623129517166,44.95
3795,SAYAUSI,CUENCA,AZUAY,-79.15914627520598,-2.8070583722868903,279.74
3850,SIDCAY,CUENCA,AZUAY,-78.96801943422362,-2.8157196272421814,16.17
3870,SININCAY,CUENCA,AZUAY,-79.03508741850715,-2.841716430163276,46.66
3980,TARQUI,CUENCA,AZUAY,-79.05409617795465,-3.0051610814869845,150.84
4095,TURI,CUENCA,AZUAY,-79.01932806192791,-2.94440532569301,25.9
4200,VALLE,CUENCA,AZUAY,-78.96737398680604,-2.9453126175866227,44.35
4225,VICTORIA DEL PORTETE,CUENCA,AZUAY,-79.12236113834955,-3.0698673703543156,196.09
0175,ASUNCION,GIRON,AZUAY,-79.24391668081383,-3.2314692675123506,53.5
0885,SAN GERARDO,GIRON,AZUAY,-79.21100346139791,-3.1266610943504967,49.49
1005,DANIEL CORDOVA TORAL,GUALACEO,AZUAY,-78.71909237301213,-2.876199169020295,20.03
1805,JADAN,GUALACEO,AZUAY,-78.85129924938613,-2.8949513329139904,52.57
2385,MARIANO MORENO / CALLASAY,GUALACEO,AZUAY,-78.72807897606882,-2.841787160587138,37.88
3160,REMIGIO CRESPO TORAL,GUALACEO,AZUAY,-78.73156879988969,-2.9359806823825045,30.66
3505,SAN JUAN,GUALACEO,AZUAY,-78.82500093065696,-2.9617318997402755,35.77
4340,ZHIDMAD,GUALACEO,AZUAY,-78.88130243162381,-2.9452433749527223,41.91
1760,LUIS CORDERO VEGA,GUALACEO,AZUAY,-78.69313701005046,-2.940577423733884,73.95
3780,SIMON BOLIVAR,GUALACEO,AZUAY,-78.78933257773586,-2.9722949168322295,11.93
0575,COCHAPATA,NABON,AZUAY,-79.07561382019607,-3.3886483844142257,110.45
1175,EL PROGRESO,NABON,AZUAY,-79.24528989026342,-3.373561370144911,154.49
2550,NIEVES,NABON,AZUAY,-79.15211186206942,-3.306044437632226,123.84
0395,BULAN / J. VICTOR IZQUIERDO,PAUTE,AZUAY,-78.77259151994573,-2.7137877808618907,38.72
0870,CHICAN /GUILLERMO ORTEGA,PAUTE,AZUAY,-78.75202947628536,-2.8124198941372844,24.51
4565,EL CABO,PAUTE,AZUAY,-78.79824196896834,-2.842934729623014,22.76
1455,GUARAINAC,PAUTE,AZUAY,-78.64335067024498,-2.676420764210078,36.11
3375,SAN CRISTOBAL,PAUTE,AZUAY,-78.84760100118336,-2.8352974483762634,16.99
4050,TOMEBAMBA,PAUTE,AZUAY,-78.6830917948908,-2.718122821177315,38.82
0890,DUG-DUG,PAUTE,AZUAY,-78.72573900838353,-2.7233355509910306,37.11
1690,SAN RAFAEL DE SHARUG,PUCARA,AZUAY,-79.54009347863702,-3.2722238339831002,68.98
4560,CHUMBIN,SAN FERNANDO,AZUAY,-79.24532794580288,-3.094146958546699,22.74
