codigo_dpa,nombre_provincia,nombre_canton,nombre_parroquia,centroide_lon,centroide_lat,area_km2,poblacion_total,poblacion_afro,pct_poblacion_afro,num_establecimientos,densidad_establecimientos_km2,establecimientos_por_10k_hab,num_infraestructura_petrolera,num_pozos,num_sitios_contaminados,tiene_petroleo,densidad_petroleo_km2
285,AZUAY,CUENCA,BAÑOS,-79.20346070705432,-2.983539921977977,251.44,21797.0,26.0,0.12,2,0.008,0.92,0,0,0,0,0.0
730,AZUAY,CUENCA,CUMBE,-79.02016149531283,-3.102251324232652,75.13,6455.0,0.0,0.0,2,0.0266,3.1,0,0,0,0,0.0
845,AZUAY,CUENCA,CHAUCHA / ANGAS,-79.39456525683947,-2.93062402036387,380.0,1721.0,2.0,0.12,2,0.0053,11.62,0,0,0,0,0.0
860,AZUAY,CUENCA,CHECA JIDCAY,-79.04122424903515,-2.711074200387781,110.86,3204.0,24.0,0.75,1,0.009,3.12,0,0,0,0,0.0
905,AZUAY,CUENCA,CHIQUINTAD,-79.05668548447996,-2.769097087842313,93.44,5738.0,24.0,0.42,0,0.0,0.0,0,0,0,0,0.0
2255,AZUAY,CUENCA,LLACAO,-78.93030542243078,-2.841989066213881,15.96,7468.0,6.0,0.08,2,0.1253,2.68,0,0,0,0,0.0
2430,AZUAY,CUENCA,MOLLETURO,-79.40047773954949,-2.7411013235917645,983.77,6882.0,5.0,0.07,5,0.0051,7.27,0,0,0,0,0.0
2570,AZUAY,CUENCA,MULTI / NULTI,-78.89032813544314,-2.8639171555474032,27.04,,,,0,0.0,,0,0,0,0,0.0
2595,AZUAY,CUENCA,OCTAVIO CORDERO PALACIOS,-78.97105372637589,-2.7755959076614363,20.88,2516.0,0.0,0.0,2,0.0958,7.95,0,0,0,0,0.0
2680,AZUAY,CUENCA,PACCHA,-78.92893661149917,-2.8986457139758657,25.27,8497.0,15.0,0.18,2,0.0791,2.35,0,0,0,0,0.0
3105,AZUAY,CUENCA,QUINGEO,-78.94081283767953,-3.054660960479782,116.92,7318.0,3.0,0.04,2,0.0171,2.73,0,0,0,0,0.0
3165,AZUAY,CUENCA,RICAURTE,-78.96321438331967,-2.8562230916047846,13.93,26919.0,119.0,0.44,1,0.0718,0.37,0,0,0,0,0.0
3460,AZUAY,CUENCA,SAN JOAQUIN,-79.19316524875958,-2.9055738994793368,204.18,10728.0,24.0,0.22,13,0.0637,12.12,0,0,0,0,0.0
3685,AZUAY,CUENCA,SANTA ANA,-78.91237072583903,-2.9654623129517166,44.95,7027.0,10.0,0.14,1,0.0222,1.42,0,0,0,0,0.0
3795,AZUAY,CUENCA,SAYAUSI,-79.15914627520598,-2.8070583722868903,279.74,10352.0,31.0,0.3,2,0.0071,1.93,0,0,0,0,0.0
3850,AZUAY,CUENCA,SIDCAY,-78.96801943422362,-2.8157196272421814,16.17,5039.0,15.0,0.3,1,0.0618,1.98,0,0,0,0,0.0
3870,AZUAY,CUENCA,SININCAY,-79.03508741850715,-2.841716430163276,46.66,26725.0,36.0,0.13,0,0.0,0.0,0,0,0,0,0.0
3980,AZUAY,CUENCA,TARQUI,-79.05409617795465,-3.0051610814869845,150.84,14144.0,3.0,0.02,3,0.0199,2.12,0,0,0,0,0.0
4095,AZUAY,CUENCA,TURI,-79.01932806192791,-2.94440532569301,25.9,13901.0,222.0,1.6,3,0.1158,2.16,0,0,0,0,0.0
4200,AZUAY,CUENCA,VALLE,-78.96737398680604,-2.9453126175866227,44.35,34785.0,71.0,0.2,2,0.0451,0.57,0,0,0,0,0.0
4225,AZUAY,CUENCA,VICTORIA DEL PORTETE,-79.12236113834955,-3.0698673703543156,196.09,6654.0,1.0,0.02,1,0.0051,1.5,0,0,0,0,0.0
175,AZUAY,GIRON,ASUNCION,-79.24391668081383,-3.23146926751235,53.5,2683.0,5.0,0.19,2,0.0374,7.45,0,0,0,0,0.0
885,AZUAY,GIRON,SAN GERARDO,-79.21100346139791,-3.1266610943504967,49.49,1058.0,0.0,0.0,2,0.0404,18.9,0,0,0,0,0.0
1005,AZUAY,GUALACEO,DANIEL CORDOVA TORAL,-78.71909237301213,-2.876199169020295,20.03,1552.0,67.0,4.32,2,0.0999,12.89,0,0,0,0,0.0
1805,AZUAY,GUALACEO,JADAN,-78.85129924938613,-2.8949513329139904,52.57,4581.0,2.0,0.04,2,0.038,4.37,0,0,0,0,0.0
2385,AZUAY,GUALACEO,MARIANO MORENO / CALLASAY,-78.72807897606882,-2.841787160587138,37.88,2513.0,4.0,0.16,1,0.0264,3.98,0,0,0,0,0.0
3160,AZUAY,GUALACEO,REMIGIO CRESPO TORAL,-78.73156879988969,-2.9359806823825045,30.66,1380.0,1.0,0.07,1,0.0326,7.25,0,0,0,0,0.0
3505,AZUAY,GUALACEO,SAN JUAN,-78.82500093065696,-2.9617318997402755,35.77,4696.0,0.0,0.0,2,0.0559,4.26,0,0,0,0,0.0
4340,AZUAY,GUALACEO,ZHIDMAD,-78.88130243162381,-2.9452433749527223,41.91,3045.0,10.0,0.33,2,0.0477,6.57,0,0,0,0,0.0
1760,AZUAY,GUALACEO,LUIS CORDERO VEGA,-78.69313701005046,-2.940577423733884,73.95,2670.0,2.0,0.07,1,0.0135,3.75,0,0,0,0,0.0
3780,AZUAY,GUALACEO,SIMON BOLIVAR,-78.78933257773586,-2.9722949168322295,11.93,732.0,0.0,0.0,1,0.0838,13.66,0,0,0,0,0.0
575,AZUAY,NABON,COCHAPATA,-79.07561382019607,-3.3886483844142257,110.45,2981.0,1.0,0.03,2,0.0181,6.71,0,0,0,0,0.0
1175,AZUAY,NABON,EL PROGRESO,-79.24528989026342,-3.373561370144911,154.49,1388.0,0.0,0.0,2,0.0129,14.41,0,0,0,0,0.0
2550,AZUAY,NABON,NIEVES,-79.15211186206942,-3.306044437632226,123.84,,,,0,0.0,,0,0,0,0,0.0
395,AZUAY,PAUTE,BULAN / J. VICTOR IZQUIERDO,-78.77259151994573,-2.7137877808618907,38.72,1911.0,0.0,0.0,2,0.0517,10.47,0,0,0,0,0.0
870,AZUAY,PAUTE,CHICAN /GUILLERMO ORTEGA,-78.75202947628536,-2.8124198941372844,24.51,3394.0,6.0,0.18,2,0.0816,5.89,0,0,0,0,0.0
4565,AZUAY,PAUTE,EL CABO,-78.79824196896834,-2.842934729623014,22.76,3366.0,12.0,0.36,2,0.0879,5.94,0,0,0,0,0.0
1455,AZUAY,PAUTE,GUARAINAC,-78.64335067024498,-2.676420764210078,36.11,,,,0,0.0,,0,0,0,0,0.0
3375,AZUAY,PAUTE,SAN CRISTOBAL,-78.84760100118336,-2.8352974483762634,16.99,2819.0,17.0,0.6,2,0.1177,7.09,0,0,0,0,0.0
4050,AZUAY,PAUTE,TOMEBAMBA,-78.6830917948908,-2.718122821177315,38.82,1315.0,0.0,0.0,2,0.0515,15.21,0,0,0,0,0.0
890,AZUAY,PAUTE,DUG-DUG,-78.72573900838353,-2.72333555099103,37.11,1779.0,0.0,0.0,2,0.0539,11.24,0,0,0,0,0.0
1690,AZUAY,PUCARA,SAN RAFAEL DE SHARUG,-79.54009347863702,-3.2722238339831,68.98,1692.0,0.0,0.0,1,0.0145,5.91,0,0,0,0,0.0
4560,AZUAY,SAN FERNANDO,CHUMBIN,-79.24532794580288,-3.094146958546699,22.74,,,,0,0.0,,0,0,0,0,0.0
15,AZUAY,SANTA ISABEL,ABDON CALDERON / LA UNION,-79.27195503653772,-3.257855774677687,62.39,4228.0,4.0,0.09,1,0.016,2.37,0,0,0,0,0.0
1130,AZUAY,CAMILO PONCE ENRIQUEZ,EL CARMEN DE PIJILI,-79.5438587777058,-2.9776743199393394,198.07,,,,0,0.0,,0,0,0,0,0.0
3835,AZUAY,SANTA ISABEL,SHAGLLI,-79.39325967850053,-3.099086920301499,279.26,1849.0,40.0,2.16,0,0.0,0.0,0,0,0,0,0.0
4610,AZUAY,SANTA ISABEL,SAN SALVADOR DE CAÑARIBAMBA,-79.35843146719708,-3.2240088711329156,102.48,1618.0,1.0,0.06,0,0.0,0.0,0,0,0,0,0.0
750,AZUAY,SIGSIG,CUTCHIL,-78.80277759821944,-3.132723557759875,125.72,,,,0,0.0,,0,0,0,0,0.0
1355,AZUAY,SIGSIG,GIMA,-78.92213565261942,-3.2044833008676563,232.9,,,,2,0.0086,,0,0,0,0,0.0
1490,AZUAY,SIGSIG,GUEL,-78.7615377262933,-3.0273830708621667,16.46,1058.0,0.0,0.0,1,0.0608,9.45,0,0,0,0,0.0
2215,AZUAY,SIGSIG,LUDO,-78.88337880347446,-3.093620115953562,79.24,3429.0,0.0,0.0,3,0.0379,8.75,0,0,0,0,0.0
3360,AZUAY,SIGSIG,SAN BARTOLOME,-78.84835390447552,-3.0140299497590117,35.87,3368.0,0.0,0.0,4,0.1115,11.88,0,0,0,0,0.0
3495,AZUAY,SIGSIG,SAN JOSE DE RARANGA,-78.93785740083771,-3.1362301887681325,42.83,3368.0,0.0,0.0,4,0.0934,11.88,0,0,0,0,0.0
1540,AZUAY,OÑA,SUSUDEL,-79.20372569546885,-3.4190939720596982,72.12,966.0,1.0,0.1,1,0.0139,10.35,0,0,0,0,0.0
2950,AZUAY,CHORDELEG,PRINCIPAL,-78.71645834558716,-3.024459451373266,30.68,1158.0,0.0,0.0,1,0.0326,8.64,0,0,0,0,0.0
1535,AZUAY,CHORDELEG,LA UNION,-78.75311171256928,-2.943731257821466,13.66,1875.0,0.0,0.0,1,0.0732,5.33,0,0,0,0,0.0
1585,AZUAY,CHORDELEG,LUIS GALARZA O. (DELEGSOL),-78.71374135980582,-2.997679097683453,29.67,1237.0,6.0,0.49,1,0.0337,8.08,0,0,0,0,0.0
1575,AZUAY,CHORDELEG,SAN MARTIN DE PUZHIO,-78.747863252075,-2.9778944297354224,14.01,1020.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
1650,AZUAY,EL PAN,SAN VICENTE,-78.65171742099525,-2.87374693745891,121.61,1691.0,6.0,0.35,3,0.0247,17.74,0,0,0,0,0.0
85,AZUAY,SEVILLA DE ORO,AMALUZA,-78.52478709528391,-2.6279223335569544,179.8,896.0,5.0,0.56,3,0.0167,33.48,0,0,0,0,0.0
